,time,open,high,low,close,ema_short,ema_long,EMA_6,EMA_12,EMA_20,SAR,RSI_14
3111,2021-05-11 01:00:00,1.7088100000000002,1.70947,1.7082000000000002,1.7082000000000002,1.7082,1.70353,1.70855,1.7082,1.70689,1.71302,57.81
3112,2021-05-11 02:00:00,1.70821,1.70911,1.7081499999999998,1.70893,1.70893,1.70374,1.70866,1.70831,1.70709,1.71277,59.68
3113,2021-05-11 03:00:00,1.70893,1.70973,1.70844,1.7093099999999999,1.70931,1.70396,1.70884,1.70847,1.7073,1.71254,60.66
3114,2021-05-11 04:00:00,1.7093099999999999,1.7099600000000001,1.7082000000000002,1.70853,1.70853,1.70414,1.70875,1.70848,1.70742,1.71231,57.57
3115,2021-05-11 05:00:00,1.70852,1.7086000000000001,1.70794,1.70835,1.70835,1.7043,1.70864,1.70846,1.7075,1.71209,56.86
3116,2021-05-11 06:00:00,1.70834,1.7088,1.7078,1.708,1.708,1.70445,1.70846,1.70839,1.70755,1.71187,55.41
3117,2021-05-11 07:00:00,1.708,1.7092399999999999,1.7077900000000001,1.7090999999999998,1.7091,1.70463,1.70864,1.7085,1.7077,1.71167,58.95
3118,2021-05-11 08:00:00,1.70912,1.70914,1.70763,1.708,1.708,1.70476,1.70846,1.70842,1.70773,1.71148,54.31
3119,2021-05-11 09:00:00,1.7080600000000001,1.70857,1.70692,1.7074,1.7074,1.70487,1.70816,1.70826,1.7077,1.71129,51.91
3120,2021-05-11 10:00:00,1.7074,1.7120199999999999,1.70724,1.71,1.71,1.70507,1.70868,1.70853,1.70792,1.7068,60.13
3121,2021-05-11 11:00:00,1.7099600000000001,1.71041,1.70697,1.71,1.71,1.70526,1.70906,1.70876,1.70811,1.7069,60.13
3122,2021-05-11 12:00:00,1.71,1.71102,1.70848,1.71102,1.71102,1.70549,1.70962,1.7091,1.70839,1.70697,63.01
3123,2021-05-11 13:00:00,1.71101,1.71196,1.7092,1.7093699999999998,1.70937,1.70564,1.70955,1.70915,1.70848,1.70697,55.97
3124,2021-05-11 14:00:00,1.70936,1.71311,1.70862,1.71244,1.71244,1.70591,1.71037,1.70965,1.70886,1.70707,64.02
3125,2021-05-11 15:00:00,1.71244,1.71327,1.71176,1.71309,1.71309,1.70619,1.71115,1.71018,1.70926,1.70731,65.46
3126,2021-05-11 16:00:00,1.7130999999999998,1.71503,1.70831,1.71014,1.71014,1.70634,1.71086,1.71017,1.70935,1.70767,54.75
3127,2021-05-11 17:00:00,1.71014,1.71299,1.7083599999999999,1.7111399999999999,1.71114,1.70653,1.71094,1.71032,1.70952,1.70826,57.3
3128,2021-05-11 18:00:00,1.71112,1.71176,1.70957,1.71089,1.71089,1.7067,1.71093,1.71041,1.70965,1.70831,56.44
3129,2021-05-11 19:00:00,1.7109,1.71444,1.71021,1.71356,1.71356,1.70697,1.71168,1.7109,1.71002,1.70836,62.83
3130,2021-05-11 20:00:00,1.7135500000000001,1.7136,1.71045,1.7116,1.7116,1.70715,1.71166,1.711,1.71017,1.70889,56.3
3131,2021-05-11 21:00:00,1.7115399999999998,1.71205,1.71052,1.7114500000000001,1.71145,1.70732,1.7116,1.71107,1.71029,1.70938,55.83
3132,2021-05-11 22:00:00,1.71147,1.7116,1.70986,1.71072,1.71072,1.70745,1.71135,1.71102,1.71033,1.70984,53.45
3133,2021-05-11 23:00:00,1.71072,1.7112699999999998,1.71017,1.71108,1.71108,1.7076,1.71127,1.71103,1.71041,1.70986,54.48
3134,2021-05-12 00:00:00,1.7111800000000001,1.71155,1.70999,1.71025,1.71025,1.7077,1.71098,1.71091,1.71039,1.70986,51.64
3135,2021-05-12 01:00:00,1.71049,1.71126,1.71049,1.71072,1.71072,1.70782,1.7109,1.71088,1.71042,1.70999,53.13
3136,2021-05-12 02:00:00,1.71071,1.71078,1.70967,1.70999,1.70999,1.7079,1.71064,1.71074,1.71038,1.71503,50.53
3137,2021-05-12 03:00:00,1.71001,1.71051,1.70938,1.71051,1.71051,1.70801,1.71061,1.71071,1.71039,1.71492,52.32
3138,2021-05-12 04:00:00,1.71051,1.71051,1.70909,1.71013,1.71013,1.70809,1.71047,1.71062,1.71037,1.7147,50.87
3139,2021-05-12 05:00:00,1.71013,1.7107999999999999,1.70961,1.71058,1.71058,1.70819,1.7105,1.71061,1.71039,1.71436,52.55
